name,year,race,hair,pubichair,dead
Cher Butler,1985,White,Blonde,Yes,FALSE
Venice Kong,1985,Black,Black,Yes,FALSE
Cynthia Brimhall,1985,White,Red,Yes,FALSE
Pamela Saunders,1985,White,Blonde,Yes,FALSE
Carol Ficatier,1985,White,Blonde,Yes,FALSE
Sherry Arnett,1986,White,Brown,Yes,FALSE
Julie McCullough,1986,White,Blonde,Yes,FALSE
Kim Morris,1986,White,Blonde,Yes,FALSE
Teri Weigel,1986,Black,Brown,Yes,FALSE
Christine Richters,1986,White,Blonde,Yes,FALSE
Rebecca Ferratti,1986,White,Brown,Yes,FALSE
Lynne Austin,1986,White,Blonde,Yes,FALSE
Ava Fabian,1986,White,Brown,Yes,FALSE
Rebekka Armstrong,1986,White,Blonde,Yes,FALSE
Katherine Hushaw,1986,White,Blonde,NULL,FALSE
Donna Edmondson,1986,White,Blonde,Yes,FALSE
Laurie Carr,1986,White,Blonde,NULL,FALSE
Luann Lee,1987,White,Blonde,Yes,FALSE
Julie Peterson,1987,White,Blonde,Yes,FALSE
Marina Baker,1987,White,Brown,Yes,FALSE
Anna Clark,1987,White,Brown,Yes,FALSE
Kymberly Paige,1987,White,Blonde,Yes,FALSE
Sandy Greenberg,1987,White,Blonde,Yes,FALSE
Carmen Berg,1987,White,Blonde,Yes,FALSE
Sharry Konopski,1987,White,Red,Yes,FALSE
Gwen Hajek,1987,White,Blonde,Yes,FALSE
Brandi  Brandt,1987,White,Blonde,Yes,FALSE
Pamela Stein,1987,White,Blonde,Yes,FALSE
India Allen,1987,White,Brown,Yes,FALSE
Kimberly Conrad,1988,White,Brown,Yes,FALSE
Kari Kennel,1988,White,Brown,NULL,FALSE
Susie Owens,1988,White,Blonde,Yes,FALSE
Eloise Broady,1988,White,Blonde,Yes,FALSE
Diana Lee,1988,Asian,Black,Yes,FALSE
Emily Arth,1988,White,Brown,Yes,FALSE
Terri Lynn Doss,1988,White,Blonde,NULL,FALSE
Helle Michael,1988,White,Blonde,Yes,FALSE
Laura Richmond,1988,White,Red,Yes,FALSE
Shannon Long,1988,White,Brown,Yes,FALSE
Pia Reyes,1988,Asian,Brown,Yes,FALSE
Kata Kärkkäinen,1988,White,Black,Yes,FALSE
Fawna MacLaren,1989,White,Brown,Yes,FALSE
Simone Eden,1989,White,Blonde,Yes,FALSE
Laura Wood,1989,White,Blonde,Yes,FALSE
Jennifer Jackson,1989,White,Blonde,Yes,TRUE
Monique Noel,1989,White,Blonde,Yes,FALSE
Tawnni Cable,1989,White,Brown,Yes,FALSE
Erika Eleniak,1989,White,Blonde,Yes,FALSE
Gianna Amore,1989,White,Brown,Yes,FALSE
Karin van Breschooten & Mirjam van Breeschooten,1989,White,Blonde,Yes,FALSE
Karen Foster,1989,White,Blonde,Yes,FALSE
Renee Tenison,1989,Black,Black,Yes,FALSE
Petra Verkaik,1989,White,Brown,Yes,FALSE
Peggy McIntaggart,1990,White,Blonde,Yes,FALSE
Pamela Anderson,1990,White,Blonde,Yes,FALSE
Deborah Driggs,1990,White,Brown,NULL,FALSE
Lisa Matthews,1990,White,Blonde,Yes,FALSE
Tina Bockrath,1990,White,Blonde,Yes,FALSE
Bonnie Marino,1990,White,Blonde,NULL,FALSE
Jacqueline Sheen,1990,White,Blonde,Yes,FALSE
Melissa Evridge,1990,White,Blonde,Yes,FALSE
Kerri Kendall,1990,White,Blonde,Yes,FALSE
Brittany York,1990,White,Brown,Yes,FALSE
Lorraine Olivia,1990,Black,Black,Yes,FALSE
Morgan Fox,1990,White,Blonde,Yes,FALSE
Stacy Leigh Arthur,1991,White,Blonde,Yes,FALSE
Cristy Thom,1991,Asian,Brown,Yes,FALSE
Julie Clarke,1991,White,Blonde,Yes,FALSE
Christina Leardini,1991,White,Brown,NULL,FALSE
Carrie Jean Yazel,1991,White,Blonde,Yes,FALSE
Saskia Linssen,1991,White,Red,Yes,FALSE
Wendy Kaye,1991,White,Blonde,Yes,FALSE
Corinna Harney,1991,White,Blonde,Yes,FALSE
Samantha Dorman,1991,White,Brown,Yes,FALSE
Cheryl Bachman,1991,White,Blonde,NULL,FALSE
Tonja Christensen,1991,White,Blonde,Yes,FALSE
Wendy Hamilton,1991,White,Brown,Yes,FALSE
Suzi Simpson,1992,White,Blonde,Yes,FALSE
Tanya Beyer,1992,White,Blonde,Yes,FALSE
Tylyn John,1992,White,Red,Yes,FALSE
 Cady Cantrell,199,White,Blonde,Yes,FALSE
Anna Nicole Smith,1992,White,Blonde,Yes,TRUE
Angela Melini,1992,Asian,Brown,Yes,FALSE
Amanda Hope,1992,White,Blonde,Yes,FALSE
Ashley Allen,1992,White,Blonde,Yes,FALSE
Morena Corwin,1992,Asian,Brown,Yes,FALSE
Tiffany Sloan,1992,White,Blonde,Yes,TRUE
Stephanie Adams,1992,Black,Brown,Yes,FALSE
Barbara Moore,1992,White,Blonde,Yes,FALSE
Echo Johnson,1993,White,Blonde,Yes,FALSE
Jennifer LeRoy,1993,White,Red,Yes,FALSE
Kimberly Donley,1993,White,Blonde,Yes,FALSE
Nicole Wood,1993,White,Blonde,Yes,FALSE
Elke Jeinsen,1993,White,Blonde,NULL,FALSE
Alesha Oreskovich,1993,White,Black,Yes,FALSE
Leisa Sheridan,1993,White,Blonde,Yes,FALSE
Jennifer Lavoie,1993,White,Brown,Yes,FALSE
Carrie Westcott,1993,White,Blonde,Yes,FALSE
Jenny McCarthy,1993,White,Blonde,Yes,FALSE
Julianna Young,1993,White,Blonde,Yes,FALSE
Arlene Baxter,1993,White,Blonde,Yes,FALSE
Anna-Marie Goddard,1994,White,Blonde,NULL,FALSE
Julie Lynn Cialini,1994,White,Brown,Yes,FALSE
Neriah Davis,1994,White,Blonde,Yes,FALSE
Becky DelosSantos,1994,White,Brown,Yes,FALSE
Shae Marks,1994,White,Blonde,Yes,FALSE
Elan Carter,1994,Black,Black,Yes,FALSE
Traci Adell ,1994,White,Black,Yes,FALSE
Maria Checa,1994,Latina,Brown,Yes,FALSE
Kelly Gallagher,1994,White,Brown,Yes,FALSE
Victoria Zdrok,1994,White,Blonde,Yes,FALSE
Donna Perry,1994,White,Brown,Yes,FALSE
Elisa Bridges,1994,White,Brown,Yes,TRUE
Melissa Holliday,1995,White,Blonde,Yes,FALSE
Lisa Marie Scott,1995,Asian,Brown,Yes,FALSE
Stacy Sanches,1995,Latina,Brown,Yes,FALSE
Danelle Folta,1995,White,Red,Yes,FALSE
Cynthia Brown,1995,White,Brown,Yes,FALSE
Rhonda Adams,1995,White,Blonde,Yes,FALSE
Heidi Mark,1995,White,Blonde,Yes,FALSE
Rachel Jean Marteen,1995,White,Brown,Yes,FALSE
Donna D’Errico,1995,White,Blonde,Yes,FALSE
Alicia Rickter,1995,White,Brown,Yes,FALSE
Holly Witt,1995,White,Blonde,Yes,FALSE
Samantha Torres,1995,White,Blonde,Yes,FALSE
Victoria Fuller,1996,White,Blonde,Yes,FALSE
Kona Carmack,1996,White,Blonde,Yes,FALSE
Priscilla Taylor,1996,White,Blonde,Yes,FALSE
Gillian Bonner,1996,White,Blonde,Yes,FALSE
Shauna Sand,1996,White,Blonde,Yes,FALSE
Karin Taylor,1996,Black,Brown,Yes,FALSE
Angel Boris,1996,White,Red,Yes,FALSE
Jessica Lee,1996,White,Brown,Yes,FALSE
Jennifer Allan,1996,White,Brown,Yes,FALSE
